KIC,Teff,log(g),Mass,Prot,e_Prot,n_Prot,Rper,LPH,w,Ref,_RA,_DE,kepid,kepmag,dutycycle,dataspan,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,cdppslplong,cdppslpshrt,r,logr
10228271,4816,4.49,0.7862,22.192,0.183,   ,19307.08,1.03,0.6202,0,298.64767,47.20888,10228271,14.512,0.6976,1458.931,205.676,182.871,172.72,162.15,156.2,146.144,141.807,136.155,131.735,129.416,128.847,129.023,129.063,131.235,-0.00815,-0.51333,19307.08,4.285716596110882
10229138,4807,4.29,0.7838,35.141,3.075,   ,7003.72,0.788,0.4429,0,298.87811,47.23331,10229138,15.241,0.6976,1458.931,352.034,313.915,295.939,276.438,264.495,243.033,234.446,222.372,209.94,198.413,190.48,183.413,181.453,173.428,-0.27576,-0.5778699999999999,7003.72,3.8453287752061462
10229329,5039,4.32,0.8444,24.436,0.127,   ,8487.11,0.859,0.542,0,298.91971,47.22265,10229329,12.71,0.6976,1458.931,73.45699999999998,66.177,63.366,59.898,58.25,55.623,54.624,53.722,53.559,54.211,55.362,56.521,56.895,58.789,0.13586,-0.41813,8487.11,3.928759831030597
10230145,4882,4.43,0.8035,37.036,4.395,   ,1531.24,0.433,0.2616,0,299.14368,47.29183,10230145,10.855,0.6975,1458.931,40.809,39.268,39.434,38.845,38.491,36.893,36.146,35.242,34.084,33.234,32.72,32.534,32.524,33.002,-0.05347,-0.16566,1531.24,3.185043265490485
10230252,5236,4.85,0.8953,21.146,0.131,   ,3151.92,0.682,0.4522,0,299.17575,47.22047,10230252,15.203,0.6976999999999999,1458.931,323.913,285.231,266.506,246.512,233.527,212.282,204.368,191.526,177.919,166.361,158.841,153.278,151.385,144.2,-0.30037,-0.6481099999999999,3151.92,3.498575185975047
10230420,4831,4.57,0.7901,16.603,0.005,   ,28906.58,1.286,0.7003,0,299.21805,47.24873,10230420,15.898,0.6651,1238.002,700.681,623.9,587.797,550.197,529.555,487.256,471.742,450.566,425.803,406.773,395.538,389.819,388.657,394.695,-0.11988,-0.5563099999999999,28906.58,4.460996712390533
10230455,5305,4.28,0.9133,7.091,0.018,   ,20881.95,1.199,0.6342,0,299.22433,47.23873,10230455,14.143,0.6976,1458.931,190.096,175.553,171.213,165.298,163.739,160.438,159.876,162.353,168.656,175.961,185.254,194.764,197.681,211.966,0.33359,-0.23219,20881.95,4.319771051547516
10230462,4867,4.44,0.7996,7.236,0.014,   ,17241.03,1.522,0.7691,0,299.22568,47.23508,10230462,15.0,0.6649,1238.002,298.242,272.651,262.564,249.253,242.5,231.005,226.815,223.995,223.181,225.384,230.44,236.769,239.48,255.914,0.1904599999999999,-0.40616,17241.03,4.236563207541726
10230472,4661,4.59,0.7448,19.868,0.617,   ,8115.23,0.992,0.5888,0,299.22824,47.26248,10230472,15.863,0.665,1238.002,571.949,507.176,473.617,436.526,414.049,375.477,360.511,337.424,313.181,295.764,284.051,275.079,271.962,261.015,-0.2617999999999999,-0.66278,8115.23,3.909300833011952
10230653,5935,4.1,1.0873,19.223,0.164,   ,738.74,0.583,0.3688,0,299.27374,47.20606,10230653,13.382,0.6976,1458.931,99.539,87.42499999999998,81.29099999999998,74.92499999999998,70.821,63.824,61.07,57.096,52.756,49.589,47.421,45.52,44.983,42.488,-0.30936,-0.6803299999999999,738.74,2.86849161507481
