KOI,KIC,Teff,log(g),Prot,e_Prot,Rvar,LPH,w,D,N,C,G,T,F,R,M1,M2,Simbad,_RA,_DE,kepid,kepmag,r,logr
1700,7220429,4858,4.216, 34.39, 0.25, 1334, 0.521047, 0.333806,0,0,0,0,0,0,0,0,0,Simbad,297.13263,42.76825,7220429,14.471,1334.0,3.12515582958053
1704,7386827,5453,4.351, 18.84, 0.09,10573, 1.130695, 0.618280,0,0,0,0,0,0,0,0,0,Simbad,298.01443,42.95746,7386827,14.86,10573.0,4.024198232206868
1711,7955580,4934,4.324, 19.83, 0.48, 4112, 0.762796, 0.464372,0,0,0,0,0,0,0,0,0,Simbad,290.28845,43.75532,7955580,15.061,4112.0,3.614053105987219
1713,8230616,4105,4.552, 37.21, 0.27, 3649, 0.413941, 0.292589,0,0,0,0,0,0,0,0,0,Simbad,290.82602,44.18411,8230616,15.224,3649.0,3.5621738633646483
1716,9838949,4747,4.266, 30.61, 0.12, 4208, 0.757669, 0.471480,0,0,0,0,0,0,0,0,0,Simbad,295.02167,46.61922,9838949,14.925,4208.0,3.6240757311456826
1721,10019065,5428,4.894, 28.52, 3.55, 2854, 0.461300, 0.299457,0,0,0,0,0,0,0,0,0,Simbad,294.78915,46.98399,10019065,15.004,2854.0,3.4554539687786283
1731,8266276,4593,4.467, 26.14, 1.12,11162, 1.041636, 0.589682,0,0,0,0,0,0,0,0,0,Simbad,301.4693,44.15965,8266276,15.72,11162.0,4.047742018180641
1732,6869184,5403,4.736, 17.62, 0.02,10814, 1.320309, 0.661748,0,0,0,0,0,0,0,0,0,Simbad,293.60126,42.37976,6869184,15.737,10814.0,4.033986365239606
1747,7032421,5458,4.795, 19.39, 0.22, 8563, 1.018122, 0.589272,0,0,0,0,0,0,0,0,0,Simbad,291.41833,42.57982,7032421,14.792,8563.0,3.9326259440217823
1751,9729691,5052,4.341, 23.58, 0.62, 8118, 0.872034, 0.554527,0,0,0,0,0,0,0,0,0,Simbad,298.60788,46.45368,9729691,14.548,8118.0,3.9094490469812664
1758,6705142,5410,4.983,  9.42, 0.04,12519, 1.074497, 0.602604,0,0,0,0,0,0,0,0,0,Simbad,295.43436,42.16632,6705142,15.969,12519.0,4.097569639431371
1760,3967760,5345,4.485, 14.99, 0.08,14007, 1.096067, 0.657404,0,0,0,0,0,0,0,0,0,Simbad,294.94388,39.03206,3967760,15.377,14007.0,4.146345128650468
1781,11551692,4720,3.906, 10.42, 0.01,17152, 1.211806, 0.634437,0,0,0,0,0,0,0,0,0,Simbad,287.60559,49.52326,11551692,12.231,17152.0,4.234314768012676
1788,2975770,4683,4.34, 19.71, 0.17,20017, 1.265395, 0.672180,0,0,0,0,0,0,0,0,0,Simbad,287.73755,38.11456,2975770,14.521,20017.0,4.301398989173564
1797,10676014,4760,4.221, 10.82, 0.01,17890, 1.376189, 0.721219,0,0,0,0,0,0,0,0,0,Simbad,295.85938,47.93951,10676014,12.971,17890.0,4.252610340567373
1800,11017901,5382,4.44,  6.49, 0.00,18750, 1.399538, 0.728701,0,0,0,0,0,0,0,0,0,Simbad,285.26859,48.56001,11017901,12.394,18750.0,4.273001272063738
1801,5088591,5178,4.47,  7.56, 0.00,22017, 1.285494, 0.665047,0,0,0,0,0,0,0,0,0,Simbad,288.47144,40.26979,5088591,14.625,22017.0,4.342758142419291
1802,11298298,5868,4.496, 13.75, 0.15, 5933, 0.823473, 0.542217,0,0,0,0,0,0,0,0,0,Simbad,292.53082,49.06171,11298298,13.345,5933.0,3.773274348337454
1804,11187436,4813,4.575,  4.60, 0.00,66012, 1.530515, 0.745231,0,0,0,0,0,0,0,0,0,Simbad,290.15634,48.81899,11187436,15.625,66012.0,4.81962289099739
1805,4644952,5647,4.08, 13.42, 0.03,15943, 1.177723, 0.658421,0,0,0,0,0,0,0,0,0,Simbad,288.81195,39.77066,4644952,13.828,15943.0,4.202570046097484
1808,7761918,6032,4.351,  8.53, 0.07, 1580, 0.500349, 0.360231,0,0,0,0,0,0,0,0,0,Simbad,294.74332,43.46121,7761918,12.487,1580.0,3.1986570869544226
1813,9455325,5359,4.366, 18.99, 0.11, 8947, 1.048906, 0.610461,0,0,0,0,0,0,0,0,0,Simbad,287.25668,46.06677,9455325,13.766,8947.0,3.951677437343301
1815,9872283,4680,3.976, 18.73, 0.18,13362, 1.125466, 0.658626,0,0,0,0,0,0,0,0,0,Simbad,281.45718,46.74647,9872283,13.884,13362.0,4.1258714674176815
1818,7870032,5543,4.329, 15.79, 0.03, 9872, 0.975017, 0.606751,0,0,0,0,0,0,0,0,0,Simbad,282.03549,43.63127,7870032,14.101,9872.0,3.9944051466891666
1819,9597058,5258,4.862, 12.83, 0.01,21955, 1.271864, 0.713277,0,0,0,0,0,0,0,0,0,Simbad,295.31314,46.23749,9597058,13.576,21955.0,4.341533441440407
